,Threshold_0.5,Threshold_30,Threshold_0.5
Model_AUC,0.5779849713689678,0.47075519225720386,0.5844136492326032
Model_Accuracy,0.8913043478260869,0.4973913043478261,0.8913043478260869
Model_PPV,0.03940886699507389,0.026019080659150044,0.04390243902439024
Model_Sensitivity,0.12698412698412698,0.47619047619047616,0.14285714285714285
Model_Specificity,0.9128296826106392,0.49798837729101475,0.9123826553419758
Baseline_AUC,0.5558109997090774,0.4992975285778146,0.5558109997090774
Baseline_Accuracy,0.8956521739130435,0.4152173913043478,0.8956521739130435
Baseline_PPV,0.031746031746031744,0.026587887740029542,0.031746031746031744
Baseline_Sensitivity,0.09523809523809523,0.5714285714285714,0.09523809523809523
Baseline_Specificity,0.9181940098345999,0.410818059901654,0.9181940098345999
Future_AUC,0.5779849713689678,0.47075519225720386,0.5844136492326032
Future_Accuracy,0.8956521739130435,0.6295652173913043,0.8934782608695652
Future_PPV,0.04145077720207254,0.029797377830750895,0.04040404040404041
Future_Sensitivity,0.12698412698412698,0.3968253968253968,0.12698412698412698
Future_Specificity,0.9172999552972732,0.6361198033080018,0.9150648189539562
