,Threshold_0.5,Threshold_34,Threshold_0.5,Threshold_0.5
Model_AUC,0.728390352081871,0.5705537074902596,0.7356359548732974,0.7356359548732974
Model_Accuracy,0.8978260869565218,0.7843478260869565,0.8873913043478261,0.8656521739130435
Model_PPV,0.38164251207729466,0.12009803921568628,0.3406113537117904,0.2242152466367713
Model_Sensitivity,0.42473118279569894,0.26344086021505375,0.41935483870967744,0.26881720430107525
Model_Specificity,0.9394512771996215,0.8301797540208137,0.9285714285714286,0.9181646168401135
Baseline_AUC,0.7021139154230374,0.5728909166742963,0.7021139154230374,0.7021139154230374
Baseline_Accuracy,0.898695652173913,0.6882608695652174,0.898695652173913,0.898695652173913
Baseline_PPV,0.37566137566137564,0.11798561151079137,0.37566137566137564,0.37566137566137564
Baseline_Sensitivity,0.3817204301075269,0.44086021505376344,0.3817204301075269,0.3817204301075269
Baseline_Specificity,0.9441816461684012,0.7100283822138127,0.9441816461684012,0.9441816461684012
Future_AUC,0.7262184514908292,0.5677180293181148,0.7266126489048941,0.7266126489048941
Future_Accuracy,0.8978260869565218,0.7795652173913044,0.8691304347826087,0.77
Future_PPV,0.3804878048780488,0.11510791366906475,0.30103806228373703,0.13742071881606766
Future_Sensitivity,0.41935483870967744,0.25806451612903225,0.46774193548387094,0.34946236559139787
Future_Specificity,0.9399243140964996,0.825449385052034,0.9044465468306528,0.8070009460737938
