,Threshold_30,Threshold_31,Threshold_32,Threshold_33,Threshold_34,Threshold_35
Model_AUC,0.5985112531093139,0.5985112531093139,0.5985112531093139,0.5985112531093139,0.5985112531093139,0.5985112531093139
Model_Accuracy,0.5549480590486605,0.6325861126298524,0.7107709130672498,0.7714598141060689,0.8299617277200656,0.868234007654456
Model_PPV,0.1154299175500589,0.12371134020618557,0.1349206349206349,0.1400560224089636,0.12871287128712872,0.12962962962962962
Model_Sensitivity,0.6086956521739131,0.5217391304347826,0.422360248447205,0.3105590062111801,0.16149068322981366,0.08695652173913043
Model_Specificity,0.5497601918465228,0.6432853717026379,0.7386091127098321,0.815947242206235,0.894484412470024,0.9436450839328537
Baseline_AUC,0.6137804042480302,0.6137804042480302,0.6137804042480302,0.6137804042480302,0.6137804042480302,0.6137804042480302
Baseline_Accuracy,0.4740295243302351,0.5243302351011482,0.5806451612903226,0.6413340623291416,0.7074904319300164,0.7523236741388737
Baseline_PPV,0.11002921129503408,0.11675675675675676,0.12406947890818859,0.13114754098360656,0.1444866920152091,0.14215686274509803
Baseline_Sensitivity,0.7018633540372671,0.6708074534161491,0.6211180124223602,0.546583850931677,0.4720496894409938,0.36024844720496896
Baseline_Specificity,0.4520383693045564,0.5101918465227818,0.5767386091127098,0.6504796163069544,0.7302158273381295,0.790167865707434
Future_AUC,0.5985112531093139,0.5985112531093139,0.5985112531093139,0.5985112531093139,0.5985112531093139,0.5985112531093139
Future_Accuracy,0.6817933296883543,0.7556041552761071,0.8091853471842537,0.8605795516675779,0.8950246036085292,0.9054127938764353
Future_PPV,0.12874779541446207,0.1425,0.12698412698412698,0.13846153846153847,0.13953488372093023,0.07142857142857142
Future_Sensitivity,0.453416149068323,0.35403726708074534,0.19875776397515527,0.11180124223602485,0.037267080745341616,0.006211180124223602
Future_Specificity,0.7038369304556354,0.7943645083932853,0.86810551558753,0.9328537170263789,0.9778177458033573,0.9922062350119905
