,Threshold_0.1,Threshold_0.2,Threshold_0.3,Threshold_0.4,Threshold_0.5
Model_AUC,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522
Model_Accuracy,0.5024603608529251,0.7386550027337343,0.8195735374521597,0.8611262985237835,0.878622197922362
Model_PPV,0.13030602171767028,0.2003780718336484,0.26721763085399447,0.3218390804597701,0.35406698564593303
Model_Sensitivity,0.8198757763975155,0.6583850931677019,0.6024844720496895,0.5217391304347826,0.45962732919254656
Model_Specificity,0.47182254196642687,0.7464028776978417,0.8405275779376499,0.8938848920863309,0.9190647482014388
Baseline_AUC,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204
Baseline_Accuracy,0.6971022416621104,0.8162930563149262,0.8611262985237835,0.878622197922362,0.8868234007654456
Baseline_PPV,0.18048780487804877,0.2615803814713896,0.3258426966292135,0.3632286995515695,0.3776595744680851
Baseline_Sensitivity,0.6894409937888198,0.5962732919254659,0.5403726708074534,0.5031055900621118,0.4409937888198758
Baseline_Specificity,0.697841726618705,0.8375299760191847,0.8920863309352518,0.9148681055155875,0.9298561151079137
Future_AUC,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522
Future_Accuracy,0.5276107162383816,0.7495899398578458,0.8272279934390377,0.8660470202296336,0.8829961727720066
Future_PPV,0.13575129533678756,0.2082514734774067,0.27405247813411077,0.33064516129032256,0.3612565445026178
Future_Sensitivity,0.8136645962732919,0.6583850931677019,0.5838509316770186,0.5093167701863354,0.42857142857142855
Future_Specificity,0.5,0.7583932853717026,0.8507194244604317,0.9004796163069544,0.9268585131894485
