,Threshold_0.2_30,Threshold_0.2_31,Threshold_0.2_32,Threshold_0.2_33,Threshold_0.2_34,Threshold_0.2_35,Threshold_0.3_30,Threshold_0.3_31,Threshold_0.3_32,Threshold_0.3_33,Threshold_0.3_34,Threshold_0.3_35,Threshold_0.4_30,Threshold_0.4_31,Threshold_0.4_32,Threshold_0.4_33,Threshold_0.4_34,Threshold_0.4_35,Threshold_0.5_30,Threshold_0.5_31,Threshold_0.5_32,Threshold_0.5_33,Threshold_0.5_34,Threshold_0.5_35
Model_AUC,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522,0.7616105873065522
Model_Accuracy,0.8305084745762712,0.847457627118644,0.864406779661017,0.8791689447785676,0.8857299070530344,0.9010388190267906,0.8731547293603061,0.8819026790595954,0.8906506287588847,0.8972115910333516,0.8983050847457628,0.9054127938764353,0.8901038819026791,0.8939311098961181,0.8961180973209404,0.9015855658829962,0.900492072170585,0.9054127938764353,0.8988518316019682,0.9015855658829962,0.9032258064516129,0.9075997813012575,0.9043193001640241,0.9092400218698743
Model_PPV,0.2422145328719723,0.24786324786324787,0.2596685082872928,0.2727272727272727,0.21428571428571427,0.25,0.32160804020100503,0.32919254658385094,0.344,0.35789473684210527,0.29508196721311475,0.3125,0.36486486486486486,0.36363636363636365,0.3592233009708738,0.379746835443038,0.29411764705882354,0.3,0.4016393442622951,0.40594059405940597,0.4069767441860465,0.4393939393939394,0.3333333333333333,0.391304347826087
Model_Sensitivity,0.43478260869565216,0.36024844720496896,0.2919254658385093,0.2236024844720497,0.11180124223602485,0.062111801242236024,0.39751552795031053,0.32919254658385094,0.2670807453416149,0.2111801242236025,0.11180124223602485,0.062111801242236024,0.33540372670807456,0.2732919254658385,0.22981366459627328,0.18633540372670807,0.09316770186335403,0.055900621118012424,0.30434782608695654,0.2546583850931677,0.21739130434782608,0.18012422360248448,0.08695652173913043,0.055900621118012424
Model_Specificity,0.8687050359712231,0.894484412470024,0.919664268585132,0.9424460431654677,0.960431654676259,0.9820143884892086,0.9190647482014388,0.935251798561151,0.9508393285371702,0.9634292565947242,0.9742206235011991,0.986810551558753,0.9436450839328537,0.9538369304556354,0.960431654676259,0.9706235011990407,0.9784172661870504,0.987410071942446,0.9562350119904077,0.9640287769784173,0.9694244604316546,0.9778177458033573,0.9832134292565947,0.9916067146282974
Baseline_AUC,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204,0.7647347960141204
Baseline_Accuracy,0.8518316019682887,0.8572990705303445,0.8622197922361946,0.8726079825041007,0.8791689447785676,0.8857299070530344,0.8857299070530344,0.8884636413340623,0.8890103881902679,0.8928376161837069,0.8977583378895572,0.900492072170585,0.8983050847457628,0.8999453253143794,0.900492072170585,0.9037725533078185,0.9054127938764353,0.9054127938764353,0.9021323127392018,0.9015855658829962,0.9026790595954073,0.9048660470202297,0.9065062875888463,0.9070530344450519
Baseline_PPV,0.28846153846153844,0.29338842975206614,0.29411764705882354,0.30434782608695654,0.310126582278481,0.2966101694915254,0.3723404255319149,0.37714285714285717,0.37037037037037035,0.3722627737226277,0.3879310344827586,0.3764705882352941,0.42138364779874216,0.42567567567567566,0.4222222222222222,0.43243243243243246,0.4375,0.4142857142857143,0.4357142857142857,0.42857142857142855,0.4297520661157025,0.43564356435643564,0.4418604651162791,0.4307692307692308
Baseline_Sensitivity,0.4658385093167702,0.4409937888198758,0.40372670807453415,0.34782608695652173,0.30434782608695654,0.21739130434782608,0.43478260869565216,0.40993788819875776,0.37267080745341613,0.3167701863354037,0.2795031055900621,0.19875776397515527,0.4161490683229814,0.391304347826087,0.35403726708074534,0.2981366459627329,0.2608695652173913,0.18012422360248448,0.37888198757763975,0.35403726708074534,0.32298136645962733,0.2732919254658385,0.2360248447204969,0.17391304347826086
Baseline_Specificity,0.8890887290167866,0.8974820143884892,0.9064748201438849,0.9232613908872902,0.934652278177458,0.9502398081534772,0.9292565947242206,0.934652278177458,0.9388489208633094,0.9484412470023981,0.9574340527577938,0.9682254196642686,0.9448441247002398,0.9490407673860911,0.9532374100719424,0.9622302158273381,0.9676258992805755,0.9754196642685852,0.9526378896882494,0.9544364508393285,0.9586330935251799,0.9658273381294964,0.9712230215827338,0.9778177458033573
