,Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Dataset
0,0.1,0.8319787190884979,0.9126112402790026,0.6021897810218978,0.9195835724239692,0.14397905759162305,Full Dataset
1,0.2,0.8319787190884979,0.9741842379539806,0.3686131386861314,0.9877858840888597,0.404,Full Dataset
2,0.30000000000000004,0.8319787190884979,0.9788342820492263,0.1678832116788321,0.9970489384375768,0.5609756097560976,Full Dataset
3,0.4,0.8319787190884979,0.9781928966567787,0.010948905109489052,0.9999180260677105,0.75,Full Dataset
4,0.5,0.8319787190884979,0.9780325503086668,0.0,1.0,0.0,Full Dataset
5,0.1,0.8008649216688777,0.9098426246999199,0.5753424657534246,0.9164853101196954,0.12034383954154727,Test Dataset
6,0.2,0.8008649216688777,0.9773272872766071,0.3835616438356164,0.9891186071817193,0.4117647058823529,Test Dataset
7,0.30000000000000004,0.8008649216688777,0.9821285676180315,0.1780821917808219,0.9980957562568009,0.65,Test Dataset
8,0.4,0.8008649216688777,0.9805281408375567,0.0,1.0,0.0,Test Dataset
9,0.5,0.8008649216688777,0.9805281408375567,0.0,1.0,0.0,Test Dataset
